"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"244",-68.379,-75.588,-67.142,-57.075,3.922,0.4632,30.135,-54.708,46.765,-15.879,22.265,33.356,-42.06,-12.076,-8.4404,3.8576,-25.129,18.752,20.914,6.0338,11.322,-13.127,34.536,27.67,7.0478,-16.315,-5.4376,-0.78775,-1.8626,34.689
"245",-241.82,28.677,21.9,27.2,19.801,56.833,56.495,11.709,-40.214,76.293,0.091714,-3.9966,42.885,96.1,-58.828,19.997,-10.452,2.2056,2.5554,-22.407,-51.701,19.215,39.457,16.412,-14.15,-13.874,30.137,3.8155,18.625,34.136
"246",-174.2,-30.946,-3.9349,-41.247,-29.007,-9.9935,16.989,-32.13,1.3386,78.058,43.749,-30.951,-14.953,-3.3771,-18.709,-10.416,9.9309,2.5333,-32.885,36.703,-30.632,5.6608,41.532,45.958,-0.069453,-7.4958,-6.13,-2.9451,-12.651,11.359
"247",-156.49,-28.736,-76.986,25.113,-20.702,1.8506,27.254,-33.206,-8.2999,43.359,-12.727,-17.45,-7.818,-10.527,19.067,-2.638,-4.4839,4.5352,-18.81,-3.472,3.8535,28.634,9.5924,26.417,10.777,-8.5244,-21.804,9.1052,-6.8583,10.289
"248",-219.52,-19.782,-42.977,38.282,39.846,7.3973,58.449,90.691,-58.147,13.159,-47.414,-11.278,15.737,20.56,-14.269,26.958,-4.9615,60.643,-9.6499,7.7287,17.096,11.63,5.2134,27.499,-5.4676,-5.9849,26.686,-56.817,-27.389,2.0495
"249",-217.24,2.3002,-159.17,158.45,36.19,-17.689,5.7542,127.8,-17.831,-24.701,38.754,-8.4928,13.328,9.2206,-10.184,-57.638,23.062,57.824,-14.094,-66.737,11.693,-30.854,54.61,91.462,16.63,19.219,31.694,-50.716,-6.7012,17.128
"250",-151.77,-57.302,-124.02,-16.59,-9.1579,5.0918,14.289,-17.59,-35.209,9.5207,-20.651,-4.8776,-1.4666,8.2269,2.477,-2.0286,-2.6646,-10.236,11.855,7.4857,23.443,8.7173,-4.9196,19.165,6.4102,-44.155,-24.699,33.333,-5.0002,2.4218
"251",-167.25,-52.278,-36.398,80.239,-5.6249,-22.752,18.181,66.059,41.839,9.451,1.9507,-2.1917,35.3,-7.072,-18.321,54.76,25.04,47.886,-34.329,27.888,14.608,-6.2741,-8.5058,8.011,-2.9203,42.321,41.454,-59.916,-25.386,-46.723
"252",-57.573,150.17,-167.77,21,8.0939,11.785,-6.3029,-103.13,-122.76,124.49,-50.825,90.487,-13.264,-65.424,-34.768,-33.97,43.671,55.603,8.221,-3.6667,-24.085,-83.428,108.5,-62.982,13.201,42.406,1.2601,11.104,-49.221,67.806
"254",-96.476,260.83,-78.9,-52.741,93.727,-4.3581,-7.9087,-116,37.704,57.52,-76.358,30.679,-0.19246,112.31,-88.747,-62.247,43.072,4.4299,-42.396,-35.263,9.4414,40.595,49.851,55.482,11.288,-70.389,-56.378,-27.578,31.79,32.935
"255",-210.26,-70.049,-53.692,-14.118,96.211,-57.151,-1.4456,46.666,-24.027,27.354,-52.236,7.7756,54.649,-16.169,13.642,-42.813,-3.9807,21.955,-14.825,18.077,-44.674,14.837,16.69,32.314,-7.0197,-39.531,-23.219,3.293,4.2543,22.753
"258",-156.06,-78.021,-34.582,-61.453,68.167,-42.848,28.815,16.27,-0.74678,51.663,8.322,6.1671,25.313,-11.58,-38.626,-20.574,-8.2658,3.6533,-2.0843,26.085,8.1203,-10.341,54.03,53.995,4.6774,-25.699,-0.43363,-39.026,-34.778,-7.2904
"260",-172.53,-56.583,-70.364,27.971,26.683,8.2641,-30.569,14.22,4.1909,26.814,-3.5951,4.9438,67.43,-31.958,-7.2359,-8.3408,16.14,14.722,6.007,47.252,11.867,-22.934,28.445,34.849,-17.934,-37.762,25.668,-24.905,-13.939,46.285
"262",-197.92,-4.8435,24.422,-10.166,-23.797,-1.269,32.849,5.2923,-11.614,85.832,23.349,-41.265,-14.435,49.707,-64.672,-25.41,-2.7681,-32.845,28.266,41.808,-23.63,-8.5936,31.164,32.553,-9.8695,2.6065,-14.681,-16.097,13.292,28.472
"263",-199.42,-21.752,-19.652,-17.035,-13.001,-10.24,-14.341,4.9898,16.722,48.773,-6.4076,-19.209,28.513,45.728,-47.481,-2.9592,-1.9373,-20.676,-0.52863,56.872,-54.997,-1.7943,44.405,36.188,-14.189,-0.83492,-0.1957,-18.495,15.542,17.803
