"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"371",55.13,36.548,-3.01,-0.4386,-2.7514,9.0684,-39.114,20.454,-7.9142,-3.6465,5.8501,6.4133,-1.947,12.982,-2.5662,8.0326,-25.339,11.08,-4.7819,-2.1031,-10.166,-19.094,21.012,2.6382,21.715,-26.945,-10.832,3.9529,-0.9609,15.967
"372",62.89,3.1493,23.229,7.348,29.635,3.2984,-40.602,7.4706,-16.662,4.692,-26.276,0.62495,29.401,3.3906,6.0124,14.252,-19.278,5.6145,8.9238,9.9446,2.2248,-5.0725,15.48,19.632,17.778,-16.672,-13.517,2.787,-3.7843,11.134
"376",54.112,-2.7046,27.52,-2.4757,31.501,33.756,-2.2598,26.771,-31.418,21.717,-16.048,-1.1591,14.422,26.76,2.6548,-10.407,11.063,19.968,28.747,23.886,8.7819,1.6408,19.362,30.842,10.6,-7.0205,-5.1777,9.9387,-5.9978,6.7652
"382",49.7,4.8912,8.0018,13.824,26.428,21.357,-16.488,17.146,-27.027,20.818,-16.833,0.54899,19.262,16.62,-8.0559,-5.2562,3.3988,15.649,16.577,19.958,-2.9755,8.0319,20.466,10.774,1.5656,-24.085,1.2823,9.9069,1.2899,16.291
"387",59.713,7.6885,16.928,9.4346,27.44,24.666,-4.4659,24.017,-15.008,13.322,-3.6681,-4.7325,1.9748,18.697,-1.0232,-2.5002,0.21487,19.702,-1.1075,28.685,-15.822,-9.5663,10.071,22.423,19.089,-29.804,-3.5277,13.678,-8.481,13.864
"393",47.148,12.628,19.937,-3.8694,27.812,34.049,-21.671,5.2591,-21.492,12.208,-10.642,3.833,6.5907,19.997,-5.3554,-9.2337,-18.388,22.649,28.48,16.509,3.3499,0.42115,32.012,43.083,-7.572,-14.476,2.0286,8.0138,-5.4898,10.394
"394",56.602,20.179,8.8069,26.582,23.445,27.036,-26.478,11.437,-14.4,7.9501,-3.9811,-3.6337,-6.5012,17.086,-6.5462,-2.4728,-12.64,11.37,17.057,23.668,-12.169,-9.7716,21.445,29.052,7.8058,-18.657,-1.4526,7.0951,-4.0274,19.149
"401",-199.51,113.8,44.159,-4.6961,79.949,88.495,73.544,62.551,4.4678,6.7283,21.483,115.92,65.902,-5.6107,-41.782,-0.85173,-68.943,-8.5246,57.603,-38.838,-33.239,-2.2054,-12.961,15.095,53.579,-7.3313,1.3959,2.5798,-0.64156,-19.036
"410",-50.149,229.88,-167.38,-126.6,-0.49138,92.762,-39.955,8.918,42.872,64.287,-93.071,10.313,1.0302,44.37,-17.307,33.033,-63.248,32.259,-28.182,20.696,-14.454,-10.469,13.8,90.001,46.362,-10.957,-18.713,-2.9633,-10.643,61.263
"416",-44.983,159.3,47.364,111.76,54.918,-175.27,-100.35,-34.174,53.022,7.9288,-1.2981,-71.343,53.22,30.433,-40.056,-49.572,-14.193,-20.411,-20.882,-34.343,-8.007,43.631,-28.71,96.801,-33.149,20.569,-0.80078,45.88,-69.162,60.923
"422",-94.942,-72.13,6.7651,-75.319,68.561,-58.12,26.346,45.688,31.095,51.899,-27.964,4.0702,41.945,22.955,7.1571,-29.967,-11.211,13.424,11.404,16.659,-52.131,11.031,-5.5953,10.003,22.536,2.9891,-7.2475,-12.907,14.521,7.5503
"423",-233.08,109.7,112.34,48.985,66.814,82.093,22.184,-11.034,-29.512,-10.78,12.468,14.161,40.904,61.03,-19.441,-29.603,12.218,5.7855,-14.889,-23.095,7.2336,-53.104,8.8615,5.9377,11.199,-32.672,1.5216,8.1417,-41.925,48.375
