"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"269",-165.92,4.6911,15.9,-97.537,-129.36,-56.582,74.793,97.187,-61.344,92.846,-14.425,13.853,-12.853,-66.188,24.738,11.99,30.768,71.02,-49.155,-59.613,36.067,-7.0672,-39.347,-6.2531,33.428,-6.0442,-19.717,1.4936,11.777,-30.466
"277",107.4,20.513,-60.16,-0.056269,-26.912,-20.861,12.091,-19.939,-61.503,8.0828,16.949,-2.6233,-8.1072,-13.498,13.986,-0.45941,-22.859,7.4441,-2.9278,0.74008,25.325,-3.6157,19.705,8.6396,1.0384,-3.1654,3.2579,8.8984,-4.5147,3.22
"281",91.332,3.8718,-50.548,-3.8354,-11.313,-6.0758,3.7373,-18.491,-45.285,6.2198,12.742,-1.2022,-15.414,-14.756,14.829,-12.208,-8.9964,10.154,-7.3929,4.6745,17.963,-7.9346,14.78,13.867,-0.011015,-2.3472,-4.2875,-15.607,-0.77966,-4.7057
"290",74.448,-8.5813,-67.118,-14.821,-40.992,-3.8113,3.8037,-23.378,-55.278,21.037,2.0374,7.696,-2.8942,-20.197,18.864,-15.581,-0.40415,13.25,-7.2362,21.648,34.268,-1.8605,12.917,4.1587,7.5118,-5.6417,-10.345,3.8197,-1.8785,-0.95754
"299",56.173,82.128,28.061,-64.6,-17.265,23.433,31.6,-1.7606,-37.371,-1.6497,33.45,12.117,-6.3856,-23.142,21.77,-14.57,-17.293,15.639,10.557,19.456,-6.8589,-29.311,32.278,-12.625,-4.0637,-20.798,-15.833,4.0871,16.861,0.17553
"300",31.074,83.09,16.741,-111.8,-45.178,42.841,-21.767,-15.115,-36.41,47.671,26.19,16.169,12.527,-19.908,17.343,-42.89,3.06,19.958,-22.085,6.2902,3.9123,-23.563,36.256,-0.30746,14.856,-28.723,4.0065,-5.8196,10.821,-0.18812
"303",19.565,-60.959,-48.437,32.562,45.605,-0.019468,-2.6566,10.499,3.171,2.8832,-4.3765,19.459,-18.165,-45.606,-20.094,1.8981,1.0628,14.465,2.9477,18.098,18.184,-16.089,14.695,-7.442,-1.5353,-6.2819,-0.52735,-7.0222,10.089,-0.34347
"305",69.047,0.55811,-60.984,-6.2532,8.2925,-13.218,-4.4785,-10.727,-34.141,1.324,11.745,1.7358,-13.528,-9.2181,7.2355,-8.9041,0.96853,1.5306,-0.88009,8.607,23.957,-1.0322,16.788,13.227,2.9365,-1.0826,-8.2675,-15.389,-5.5433,-3.3849
"311",100.19,42.668,-21.989,39.631,-11.333,-16.543,36.552,-11.968,-73.383,26.342,0.59377,-2.0486,7.3493,-15.533,-17.481,-21.119,-13.289,-22.136,-9.6611,4.3482,35.821,-11.123,3.0103,-2.1692,33.299,-5.2838,13.315,3.0008,-1.7786,18.943
"312",84.368,21.283,-48.193,-5.5019,-36.72,-7.2594,-9.8141,-14.943,-50.723,11.512,22.795,17.607,-12.24,-21.468,27.113,6.1277,17.913,9.8265,-2.1787,9.1943,23.286,-20.048,13.274,1.8647,-20.608,-20.66,-24.299,0.93317,-11.041,2.8016
"317",89.51,24.842,-38.709,25.895,-19.051,-26.42,-9.2073,-31.41,-62.9,37.154,-2.8761,5.5023,-24.84,-15.996,-2.1691,-10.065,1.6355,-4.3817,-9.1658,-28.12,15.594,-6.3504,14.813,-1.8316,-24.918,-3.4791,-3.0533,10.719,-14.901,14.496
"325",90.441,22.582,-48.95,-11.9,-32.257,-11.037,14.954,-5.134,-78.341,12.543,22.129,17.504,-6.1937,-13.862,16.263,-9.6842,8.064,5.1627,-9.6691,8.1059,32.396,-23.639,14.021,0.27592,-13.983,-17.814,-14.867,0.54848,-7.6212,-0.23313
"328",96.316,14.676,-40.587,14.79,-47.872,-16.096,10.903,-32.237,-61.743,37.043,-13.336,5.8903,-3.4684,-29.168,1.3811,-13.014,-12.132,-4.9915,-11.158,-3.7665,30.045,10.263,9.7058,6.0293,-9.2234,-10.706,-9.4163,14.546,-9.5511,20.377
"331",95.924,8.9389,-34.876,6.4983,-45.78,-6.9832,4.4114,-27.107,-46.634,14.793,-3.4574,3.9843,-11.032,-22.145,7.2081,-1.1565,6.9814,1.1022,-25.755,2.8482,29.913,7.5229,7.021,4.4864,6.8769,-3.1419,-1.6746,8.9788,3.2346,13.649
"341",112.74,32.015,-23.115,17.786,-16.271,-8,30.579,-12.538,-62.074,2.0794,2.8995,-2.7645,-12.831,-13.791,-4.3662,7.4482,-14.765,13.916,-8.1554,-16.64,28.323,-14.864,14.496,7.8263,6.2013,-10.488,15.995,3.0041,-10.967,13.797
"346",98.131,48.71,3.759,7.3518,-33.991,-9.1903,10.79,-20.199,-52.512,31.823,-0.31023,12.715,-5.1073,-23.259,9.5736,-14.744,17.409,-0.081936,-5.7939,1.4239,32.984,-13.776,14.676,4.8035,-14.016,-26.889,-13.162,-2.419,-18.386,3.4179
"348",95.86,43.785,-11.174,-4.6558,-55.704,-6.822,22.521,-14.598,-83.846,30.363,7.2908,28.177,-4.0886,-25.903,3.1575,4.1013,0.99495,12.042,-6.3667,28.712,23.594,-3.2087,17.093,-11.485,-3.3911,-27.752,-13.521,8.1794,-4.7519,5.0639
"352",107.07,56.015,-11.929,3.3383,-39.408,-9.2986,11.721,-18.778,-62.309,30.458,7.0221,8.5894,-5.9481,-25.493,-1.2123,-11.559,-1.9858,-2.9173,-21.839,10.402,25.499,-12.249,6.5297,6.1426,-1.7629,-13.442,-5.7032,15.374,-2.5799,6.8669
"357",100.63,36.433,-13.573,11.279,-37.67,-9.0978,6.8411,-25.773,-52.296,24.58,-1.2369,10.253,-9.7696,-27.333,3.8912,-2.9354,4.9925,13.973,-15.984,-12.448,22.582,1.5213,2.3165,-4.3293,-8.3593,-11.523,-11.525,14.652,-13.794,10.767
"367",102.95,14.295,-68.871,-16.71,-19.933,-10.514,9.0762,-23.099,-53.513,-9.183,15.59,-0.13587,-18.663,-10.165,11.725,3.3879,-17.391,17.956,13.097,-12.026,26.006,-17.701,18.354,6.7499,-8.2631,-13.517,-9.8518,-5.3393,0.33064,4.6779
"371",16.748,-72.755,-69.625,30.466,64.918,27.063,9.1588,12.948,9.1663,26.141,10.089,18.498,-4.6249,-27.488,3.3353,-11.1,-15.278,11.711,5.811,10.364,17.876,-10.71,23.161,-17.835,-2.6983,-33.925,6.8209,-1.6897,14.24,26.763
"372",40.701,-74.348,-69.66,35.422,65.087,2.0375,-16.768,18.338,25.014,15.133,-6.8578,-15.509,-25.832,-17.984,-5.1749,-12.801,10.503,5.1101,-2.7081,6.8934,19.212,-3.3639,25.63,17.712,8.8159,-12.111,-3.5513,-19.838,-8.4348,10.899
